Bandwidth calibration estimates
bands=4 width=0 rms=0.0513207 inv=0.932543
bands=4 width=25 rms=0.0509384 inv=0.939541
bands=4 width=50 rms=0.0484883 inv=0.987017
bands=4 width=75 rms=0.0474998 inv=1.00756
bands=4 width=100 rms=0.0474194 inv=1.00927
bands=8 width=0 rms=0.0478587 inv=1
bands=8 width=25 rms=0.0477592 inv=1.00208
bands=8 width=50 rms=0.0483701 inv=0.989428
bands=8 width=75 rms=0.0478026 inv=1.00117
bands=8 width=100 rms=0.04774 inv=1.00249
bands=16 width=0 rms=0.0453092 inv=1.05627
bands=16 width=25 rms=0.0467533 inv=1.02364
bands=16 width=50 rms=0.0539104 inv=0.887746
bands=16 width=75 rms=0.0539311 inv=0.887406
bands=16 width=100 rms=0.053892 inv=0.888049
bands=24 width=0 rms=0.0452706 inv=1.05717
bands=24 width=25 rms=0.0484613 inv=0.987565
bands=24 width=50 rms=0.0561782 inv=0.85191
bands=24 width=75 rms=0.0562708 inv=0.850507
bands=24 width=100 rms=0.0562349 inv=0.851051
bands=32 width=0 rms=0.0462362 inv=1.03509
bands=32 width=25 rms=0.0490734 inv=0.975248
bands=32 width=50 rms=0.0536434 inv=0.892164
bands=32 width=75 rms=0.0537166 inv=0.890949
bands=32 width=100 rms=0.0536821 inv=0.891522
bands=40 width=0 rms=0.0478058 inv=1.00111
bands=40 width=25 rms=0.0478912 inv=0.999323
bands=40 width=50 rms=0.0472996 inv=1.01182
bands=40 width=75 rms=0.0473306 inv=1.01116
bands=40 width=100 rms=0.0473005 inv=1.0118
